Марка|Модель|Модификация|Тип кузова|Год выпуска|Коллекция|Артикул|Количество мест|Материал|Поролон|Использование с боковыми Airbag|Карманы в спинках передних сидений|Вышивка Логотипа|Декоративная отстрочка|Чехол на задний подлокотник|Чехол на передний подлокотник|Доп. 1|Доп. 2|Цена Закупочная|Цена Крупный Опт|Цена Мелкий Опт|Цена Розничная
Suzuki|Grant Vitara|II|внедорожник|2005-н.в.|Premium|mch-0329|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Suzuki|SX4|-|кроссовер|2006-2013|Premium|mch-0331|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Avensis|II (T250)|седан|2003-2008|Premium|mch-0333|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Auris|E150|хэтчбек|2006-2012|Premium|mch-0336|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Camry|VI (XV40)|седан|2006-2011|Premium|mch-0338|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Camry|VII (XV50)|седан|2011-н.в.|Premium|mch-0339|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|E12|седан|2001-2007|Premium|mch-0342|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|E12|хэтчбек|2001-2007|Premium|mch-0344|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|30N/MC|седан|2007-2013|Premium|mch-0346|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|E170|седан|2013-н.в.|Premium|mch-0347|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Highlander|II|кроссовер|2008-2014|Premium|mch-0349|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Hilux|VII (N2)|пикап|2004-н.в.|Premium|mch-0351|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Land Cruiser Prado|J120|внедорожник|2002-2009|Premium|mch-0352|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Land Cruiser Prado|J150|внедорожник|2009-н.в.|Premium|mch-0354|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|RAV4|II|кроссовер|2000-2005|Premium|mch-0356|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|RAV4|III|кроссовер|2005-2013|Premium|mch-0358|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|RAV4|IV|кроссовер|2013-н.в.|Premium|mch-0359|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Amorok|-|пикап|2009-н.в.|Premium|mch-0361|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Golf|VI|хэтчбек|2008-н.в.|Premium|mch-0368|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Golf|VII|хэтчбек|2012-н.в.|Premium|mch-0371|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Jetta|V|седан|2004-н.в.|Premium|mch-0372|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Jetta|VI|седан|2010-н.в.|Premium|mch-0374|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Jetta|VII|седан|2014-н.в.|Premium|mch-0375|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Passat|B5|седан|1996-2005|Premium|mch-0378|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Polo|Sedan|седан|2010-н.в.|Premium|mch-0381|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Volkswagen|Tiguan|-|кроссовер|2007-н.в.|Premium|mch-0385|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2107|-|седан|1982-2013|Premium|mch-0392|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2108|-|хэтчбек|1984-2003|Premium|mch-0393|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2109|-|хэтчбек|1987-2006|Premium|mch-0394|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2110|-|седан|1995-2007|Premium|mch-0397|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2111|-|универсал|1998-2009|Premium|mch-0399|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2112|-|хэтчбек 5 дв.|1999-2008|Premium|mch-0401|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|21123|Coupe|купэ|2006-н.в.|Premium|mch-0403|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2113|-|хэтчбек 3 дв.|2004-2013|Premium|mch-0405|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2114|-|хэтчбек 5 дв.|2003-н.в.|Premium|mch-0407|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2115|-|седан|1997-2013|Premium|mch-0409|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2121|Нива|внедорожник 3 дв.|1977-2013|Premium|mch-0410|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
ВАЗ|2131|Нива|внедорожник 5 дв.|1993-2013|Premium|mch-0411|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Granta|-|седан|2011-н.в.|Premium|mch-0413|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Kalina|-|седан|2004-н.в.|Premium|mch-0415|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Kalina|-|хэтчбек|2007-н.в.|Premium|mch-0417|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Kalina|-|универсал|2007-н.в.|Premium|mch-0419|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Kalina|II|хэтчбек|2013-н.в.|Premium|mch-0420|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Largus|-|фургон|2012-н.в.|Premium|mch-0422|2|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|5490
Lada|Largus|-|универсал|2012-н.в.|Premium|mch-0424|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Largus|-|универсал|2012-н.в.|Premium|mch-0426|7|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|9100
Lada|Priora|-|седан|2007-н.в.|Premium|mch-0428|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lada|Priora|-|хэтчбек|2008-н.в.|Premium|mch-0430|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
УАЗ|Patriot|3163|внедорожник|2005-н.в.|Premium|mch-0434|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|салон Rexton|-|-|-|-|6490
УАЗ|Patriot|-|внедорожник|2014-н.в.|Premium|mch-0435|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Audi|80|B3|седан|1987-1991|Standart|mch-0001|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Audi|80|B4|седан|1991-1995|Standart|mch-0002|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Audi|100|C4|седан|1991-1994|Standart|mch-0003|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
BMW|5 series|e34|седан|1988-1996|Standart|mch-0010|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chery|Amulet|-|седан|2003-н.в.|Standart|mch-0011|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chery|A5|-|седан|2006-2010|Standart|mch-0012|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Cherry|Tiggo|T11|кроссовер|2005-2012|Standart|mch-0013|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chery|A5|-|седан|2006-н.в.|Standart|mch-0016|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Citroen|C4|-|седан|2011-н.в.|Standart|mch-0017|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Citroen|C4|-|хэтчбек|2011-н.в.|Standart|mch-0019|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Aveo|-|седан|2002-н.в.|Standart|mch-0022|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Aveo|-|хэтчбек|2002-н.в.|Standart|mch-0023|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Aveo|II|седан|2011-н.в.|Standart|mch-0024|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Aveo|II|хэтчбек|2011-н.в.|Standart|mch-0026|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Captiva|-|кроссовер|2006-н.в.|Standart|mch-0028|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Cruze|-|седан|2008-н.в.|Standart|mch-0030|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Cruze|-|хетчбэк|2011-н.в.|Standart|mch-0032|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Lacetti|-|седан|2004-н.в.|Standart|mch-0034|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Lacetti|-|хэтчбек|2004-н.в.|Standart|mch-0036|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Lacetti|-|универсал|2004-н.в.|Standart|mch-0038|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Lanos|-|седан|2005-н.в.|Standart|mch-0039|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Niva|-|кроссовер|2002-2013|Standart|mch-0041|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Orlando|-|компактвэн|2010-2012|Standart|mch-0043|5|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Chevrolet|Rezzo|-|минивен|2000-2008|Standart|mch-0048|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Daewoo|Esparo|-|седан|1995-1999|Standart|mch-0050|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Daewoo|Gentra|-|седан|2013-н.в.|Standart|mch-0051|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Daewoo|Matiz|-|хэтчбек|1998-2000|Standart|mch-0053|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Daewoo|Matiz|-|хэтчбек|2000-н.в.|Standart|mch-0055|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Daewoo|Nexia|-|седан|1994-2008|Standart|mch-0057|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Daewoo|Nexia|-|седан|2008-н.в.|Standart|mch-0058|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Fiat|Ducato|-|микроавтобус|2007-2013|Standart|mch-0060|3|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4490
Ford|Escape|(США)|кроссовер|2000-2006|Standart|mch-0061|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|I|седан|1998-2004|Standart|mch-0062|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|I|хэтчбек|1998-2004|Standart|mch-0063|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|I|универсал|1998-2004|Standart|mch-0064|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|II|седан|2004-2011|Standart|mch-0065|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|II|хэтчбек|2004-2011|Standart|mch-0066|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|II|универсал|2004-2011|Standart|mch-0067|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|III|седан|2011-2014|Standart|mch-0071|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|III|хэтчбек|2011-2014|Standart|mch-0072|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Focus|III|универсал|2011-2014|Standart|mch-0073|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Fusion|-|хэтчбек|2006-2012|Standart|mch-0077|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Fiesta|V|хэтчбек|2002-2008|Standart|mch-0079|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Fiesta|VI|хэтчбек|2008-н.в.|Standart|mch-0080|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Kuga|I|кроссовер|2008-2012|Standart|mch-0082|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Ranger|-|пикап|2006-2012|Standart|mch-0084|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|C-Max|-|минивен|2010-н.в.|Standart|mch-0085|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Galaxy|I|минивен|1995-2000|Standart|mch-0086|5|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Galaxy|I|минивен|1995-2000|Standart|mch-0087|7|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|6840
Ford|Galaxy|II|минивен|2000-2005|Standart|mch-0088|5|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Galaxy|II|минивен|2000-2005|Standart|mch-0089|7|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|6840
Ford|Mondeo|I|седан|1993-1996|Standart|mch-0090|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|I|универсал|1993-1996|Standart|mch-0091|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|I|хэтчбек|1993-1996|Standart|mch-0092|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|II|седан|1996-2000|Standart|mch-0093|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|II|универсал|1996-2000|Standart|mch-0094|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|II|хэтчбек|1996-2000|Standart|mch-0095|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|III|седан|2000-2007|Standart|mch-0096|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|III|универсал|2000-2007|Standart|mch-0097|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|III|хэтчбек|2000-2007|Standart|mch-0098|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|IV|седан|2007-2013|Standart|mch-0102|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|IV|универсал|2007-2013|Standart|mch-0103|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Ford|Mondeo|IV|хэтчбек|2007-2013|Standart|mch-0104|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Great Wall|Deer|G5|пикап|2005-2009|Standart|mch-0110|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Great Wall|Hover|-|кроссовер|2005-2010|Standart|mch-0111|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Great Wall|Hover|H3|кроссовер|2010-н.в.|Standart|mch-0112|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Great Wall|Hover|H5|кроссовер|2010-н.в.|Standart|mch-0113|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|Салон H3|-|-|-|-|4990
Honda|CR-V|III|кроссовер|2006-2012|Standart|mch-0118|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Honda|CR-V|IV|кроссовер|2012-н.в.|Standart|mch-0120|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Honda|Civic|VIII|хэтчбек|2006-2011|Standart|mch-0121|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Honda|Jazz|-|хетчбэк|2008-н.в.|Standart|mch-0123|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Accent|-|седан|2000-2012|Standart|mch-0124|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Elantra|III|седан|2000-2006|Standart|mch-0126|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Elantra|III|хэтчбек|2000-2006|Standart|mch-0127|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Elantra|IV|седан|2006-2010|Standart|mch-0128|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Elantra|IV|хэтчбек|2006-2010|Standart|mch-0129|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Elantra|V|седан|2011-2014|Standart|mch-0130|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|H1 Starex|-|минивен|1998-2008|Standart|mch-0132|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Getz|-|хэтчбек|2002-2005|Standart|mch-0133|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Santa Fe|classic|кроссовер|2001-2007|Standart|mch-0135|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Santa Fe|-|кроссовер|2006-2012|Standart|mch-0136|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Solaris|-|хэтчбек|2011-2014|Standart|mch-0140|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Solaris|-|хэтчбек|2011-2014|Standart|mch-0142|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Sonata|IV|седан|2001-2004|Standart|mch-0143|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|i30|-|хэтчбек|2007-2012|Standart|mch-0147|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Hyundai|Tucson|-|кроссовер|2004-2010|Standart|mch-0152|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Kia|Cerato|-|седан|2003-2008|Standart|mch-0153|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Kia|Cerato|-|хэтчбек|2003-2008|Standart|mch-0155|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Kia|Ceed|-|хетчбэк|2006-2012|Standart|mch-0159|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Kia|Spectra|-|седан|2000-2009|Standart|mch-0161|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Kia|Sportage|III|кроссовер|2010-н.в.|Standart|mch-0164|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Kia|Rio|IV|хетчбэк|2011-н.в.|Standart|mch-0176|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Landrover|Freelander|-|кроссовер|2010-н.в.|Standart|mch-0180|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Mazda|3|-|седан|2003-2009|Standart|mch-0181|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Mazda|3|-|хетчбэк|2003-2009|Standart|mch-0183|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Mazda|3|-|хетчбэк|2009-2013|Standart|mch-0186|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Mazda|BT-50|-|пикап|2006-н.в.|Standart|mch-0198|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
Mitsubishi |ASX|-|кроссовер|2010-н.в.|Standart|mch-0199|-|экокожа|5мм|Да|Да|Нет|Одинарная, тонкими нитями|-|-|-|-|-|-|-|4990
